population,plato,mutation,media,desvio padrao,varianca
400,100,0,390.000,24.249,588.000
400,100,5,403.000,21.100,445.200
400,100,10,393.000,18.254,333.200
400,100,15,408.000,19.774,391.000
400,100,20,404.000,15.994,255.800
400,200,0,377.000,20.630,425.600
400,200,5,369.000,14.758,217.800
400,200,10,374.000,20.060,402.400
400,200,15,382.000,13.587,184.600
400,200,20,407.000,11.145,124.200
400,300,0,340.000,43.516,1893.600
400,300,5,347.000,24.224,586.800
400,300,10,367.000,11.171,124.800
400,300,15,362.000,21.345,455.600
400,300,20,392.000,21.138,446.800
400,400,0,326.000,31.382,984.800
400,400,5,341.000,25.725,661.800
400,400,10,364.000,12.418,154.200
400,400,15,374.000,13.349,178.200
400,400,20,372.000,23.358,545.600
400,500,0,368.000,18.072,326.600
400,500,5,327.000,22.768,518.400
400,500,10,362.000,28.733,825.600
400,500,15,358.000,25.401,645.200
400,500,20,383.000,9.381,88.000
