population,plato,mutation,media,desvio padrao,varianca
800,100,0,123780.000,8340.644,69566336.000
800,100,5,133709.000,3632.826,13197425.000
800,100,10,135494.000,1644.373,2703961.250
800,100,15,135067.000,1335.395,1783278.625
800,100,20,136549.000,1395.337,1946964.250
800,200,0,117496.000,9211.438,84850576.000
800,200,5,127770.000,4065.952,16531968.000
800,200,10,132414.000,2451.866,6011649.000
800,200,15,133315.000,2104.119,4427317.500
800,200,20,134800.000,2129.959,4536727.000
800,300,0,115579.000,5150.436,26526986.000
800,300,5,128119.000,3994.604,15956861.000
800,300,10,132331.000,2557.422,6540409.500
800,300,15,133133.000,2280.714,5201658.500
800,300,20,134918.000,976.819,954175.000
800,400,0,113352.000,5398.181,29140358.000
800,400,5,129365.000,2515.406,6327265.000
800,400,10,133868.000,1103.947,1218699.750
800,400,15,134350.000,1529.395,2339049.250
800,400,20,134237.000,1307.856,1710487.625
800,500,0,109968.000,4549.065,20693996.000
800,500,5,130710.000,2406.977,5793537.000
800,500,10,131225.000,2466.346,6082861.000
800,500,15,133064.000,1144.062,1308876.750
800,500,20,132887.000,1118.613,1251295.250
