geracoes,caminho
1,149140
2,147646
3,147646
4,147646
5,147646
6,147646
7,147646
8,147646
9,147646
10,147646
11,147646
12,144707
13,143512
14,143512
15,143512
16,143482
17,143482
18,143482
19,143482
20,143482
21,143482
22,143482
23,143482
24,142051
25,142051
26,142051
27,142051
28,142051
29,142051
30,142051
31,142051
32,142051
33,142051
34,142051
35,142051
36,142051
37,142051
38,142051
39,142051
40,142051
41,142051
42,142051
43,142051
44,142051
45,142051
46,142051
47,139853
48,139853
49,139853
50,139853
51,139853
52,139853
53,139853
54,139853
55,139853
56,134562
57,134562
58,134562
59,134562
60,133899
61,133899
62,133899
63,133899
64,133899
65,133899
66,133899
67,133899
68,133899
69,133899
70,133899
71,133899
72,133899
73,133899
74,133899
75,133899
76,133899
77,133899
78,133899
79,133899
80,133899
81,133899
82,133899
83,133899
84,130880
85,130880
86,130880
87,130880
88,127181
89,127119
90,127119
91,127119
92,127119
93,126666
94,126666
95,126666
96,126383
97,126383
98,126383
99,126383
100,126383
101,126383
102,126383
103,126383
104,126383
105,126383
106,126383
107,126383
108,126383
109,126383
110,126383
111,126383
112,126383
113,126383
114,126383
115,126383
116,126383
117,126383
118,120687
119,120687
120,120687
121,120687
122,120687
123,120687
124,120687
125,119958
126,119958
127,119958
128,119958
129,119958
130,119958
131,119958
132,119958
133,119958
134,119958
135,119958
136,119958
137,119958
138,119958
139,119958
140,119958
141,119958
142,119958
143,119958
144,119958
145,119958
146,119958
147,119958
148,119958
149,119958
150,119958
151,119958
152,119958
153,119958
154,119958
155,119958
156,119958
157,119958
158,119958
159,119958
160,119958
161,119958
162,119958
163,119958
164,119958
165,119958
166,119958
167,119958
168,119958
169,119958
170,119958
171,119958
172,119958
173,119958
174,119958
175,119958
176,119958
177,119958
178,119958
179,119958
180,119958
181,119958
182,119958
183,119958
184,119958
185,119958
186,119958
187,119958
188,119958
189,119958
190,119958
191,119958
192,119958
193,119958
194,119958
195,119958
196,119958
197,119958
198,119958
199,119958
200,119958
201,119958
202,119958
203,119958
204,119958
205,119958
206,119958
207,119958
208,119958
209,119958
210,119958
211,119958
212,119958
213,119958
214,119958
215,119958
216,119958
217,119958
218,119958
219,119958
220,119958
221,119002
222,119002
223,119002
224,119002
225,118704
226,118704
227,118704
228,118503
229,118503
230,118503
231,118503
232,118503
233,118503
234,118503
235,118503
236,118503
237,118503
238,118503
239,118503
240,118503
241,118503
242,118503
243,118503
244,118503
245,118503
246,118503
247,118503
248,118503
249,118503
250,118503
251,118503
252,118503
253,118503
254,118503
255,118503
256,118503
257,118503
258,118503
259,118503
260,118503
261,118503
262,118503
263,118503
264,118503
265,118503
266,118503
267,118503
268,118503
269,118503
270,118503
271,118503
272,118503
273,118503
274,118503
275,118503
276,118503
277,118503
278,118503
279,118503
280,118503
281,118503
282,118503
283,118503
284,118503
285,118503
286,118503
287,118503
288,118503
289,118503
290,118503
291,118503
292,118503
293,118503
294,118503
295,118503
296,118503
297,118503
298,118503
299,118503
300,118503
301,118503
302,118503
303,118503
304,118503
305,118503
306,118503
307,118503
308,118503
309,118503
310,118503
311,118503
312,118503
313,118503
314,118503
315,118503
316,118503
317,118503
318,118503
319,118503
320,118503
321,118503
322,118503
323,118503
324,118503
325,118503
326,118503
327,118503
328,118503
329,118503
330,118503
331,118503
332,118503
333,118503
334,118503
335,118503
336,118503
337,118503
338,118503
339,118503
340,118503
341,118503
342,118503
343,118503
344,118503
345,118503
346,118503
347,118503
348,118503
349,118503
350,118503
351,118503
352,118503
353,118503
354,118503
355,118503
356,118503
357,118503
358,118503
359,118503
360,118503
361,118503
362,118503
363,118503
364,118503
365,118503
366,118503
367,118503
368,118503
369,118503
370,118503
371,118503
372,118503
373,118503
374,118503
375,118503
376,118503
377,118503
378,118503
379,118503
380,118503
381,118503
382,118503
383,118503
384,118503
385,118503
386,118503
387,118503
388,118503
389,118503
390,118503
391,118503
392,118503
393,118503
394,118503
395,118503
396,118503
397,118503
398,118503
399,118503
400,118503
401,118503
402,118503
403,118503
404,118503
405,118503
406,118503
407,118503
408,118503
409,118503
410,118503
411,118503
412,118503
413,118503
414,118503
415,118503
416,118503
417,118503
418,118503
419,118503
420,118503
421,118503
422,118503
423,118503
424,118503
425,118024
426,116717
427,116717
428,116717
429,116717
430,116717
431,116717
432,116717
433,116717
434,116717
435,116717
436,116717
437,116717
438,116717
439,116717
440,116481
441,116481
442,116481
443,116481
444,116481
445,116481
446,116481
447,116481
448,116481
449,116481
450,116481
451,116481
452,116481
453,116481
454,116481
455,116481
456,116481
457,116481
458,116481
459,116481
460,116481
461,116481
462,116481
463,116481
464,116481
465,116481
466,116481
467,116481
468,116481
469,116481
470,116481
471,116481
472,116481
473,116481
474,116481
475,116481
476,116481
477,116481
478,116481
479,116481
480,116481
481,116481
482,116481
483,116481
484,116481
485,116481
486,116481
487,116481
488,116481
489,116481
490,116481
491,116481
492,116481
493,116481
494,116481
495,116481
496,116481
497,116481
498,116481
499,116481
500,116481
501,116481
502,116481
503,116481
504,116481
505,116481
506,116481
507,116481
508,116481
509,116481
510,116481
511,116481
512,116481
513,116481
514,116481
515,116481
516,116481
517,116481
518,116481
519,116481
520,116481
521,116481
522,116481
523,116481
524,116481
525,116481
526,116481
527,116481
528,116481
529,116481
530,116481
531,116481
532,116481
533,116481
534,116481
535,116481
536,116481
537,116481
538,116481
539,116481
540,116481
541,116481
542,116481
543,116481
544,116481
545,116481
546,116481
547,116481
548,116481
549,116481
550,116481
551,116481
552,116481
553,116481
554,116481
555,116481
556,116481
557,115768
558,115768
559,115768
560,115768
561,115768
562,115768
563,115768
564,115768
565,115768
566,115531
567,115531
568,115531
569,115531
570,115531
571,115531
572,115531
573,115531
574,115531
575,115531
576,115531
577,115531
578,115531
579,115531
580,115531
581,115531
582,115531
583,115531
584,115531
585,115531
586,115531
587,115531
588,115531
589,115531
590,115531
591,115531
592,115531
593,115531
594,115531
595,115531
596,115531
597,115531
598,115531
599,115531
600,115531
601,115531
602,115531
603,115531
604,115531
605,115531
606,115531
607,115531
608,115531
609,115531
610,115531
611,115531
612,115531
613,115531
614,115531
615,115531
616,115531
617,115531
618,115531
619,115531
620,115531
621,115531
622,115531
623,115531
624,115531
625,115531
626,115531
627,115531
628,115531
629,115531
630,115531
631,115531
632,115531
633,115531
634,115531
635,115531
636,115531
637,115531
638,115531
639,115531
640,115531
641,115531
642,115531
643,115531
644,115531
645,115531
646,115531
647,115531
648,115531
649,115531
650,115531
651,115531
652,115531
653,115531
654,115531
655,115531
656,115531
657,115531
658,115531
659,115531
660,115531
661,115531
662,115531
663,115531
664,115531
665,115531
666,115531
667,115531
668,115531
669,115531
670,115531
671,115531
672,115531
673,115531
674,115531
675,115531
676,115531
677,115531
678,115531
679,115399
680,115399
681,115399
682,115399
683,115399
684,115399
685,115399
686,115399
687,115399
688,115399
689,115399
690,115399
691,115399
692,115399
